Key	Type	Desc	English	Français
Items/AncientMakeupSetDesc	Text		A small wooden box containing all kinds of brushes, pastes and powders that have been used for makeup.	Une petite boîte en bois contenant toutes sortes de pinceaux, pâtes et poudres ayant servi au maquillage.
Items/AncientMiningPick	Text		Ancient Pickaxe	Pioche antique
Items/AncientMiningPickDesc	Text		Great architects of the lost civilization must have used this to take down almost any wall in their way.	Les grands architectes de la civilisation perdue ont dû l'utiliser pour abattre presque tous les murs sur leur chemin.
Items/AncientSpear	Text		Prehistoric Crystal Spear	Lance de cristal préhistorique
Items/AncientSpearDesc	Text		One of the first weapons ever made by mankind, but this one has an ancient gemstone in place of a normal spearhead.	L'une des premières armes jamais fabriquées par l'humanité, mais celle-ci a une ancienne pierre précieuse à la place d'un fer de lance normal.
Items/AncientWire	Text		Ancient Wire	Fil antique
Items/AngleFish	Text		Beryll Angle Fish	Poisson d'angle Beryll
Items/AngleFishDesc	Text		This moon-blue fish seemed to have had a normal body once, but the water of the Shimmering Frontier corrupted it to be crystalline through and through.	Ce poisson bleu lune semblait avoir eu un corps normal, mais l'eau de la Frontière miroitante l'avait corrompu pour le rendre cristallin de part en part.
Items/AnniversaryCake	Text		Anniversary Cake	Gâteau d'Anniversaire
Items/AnniversaryCakeDesc	Text		Drenched in blue glaze and stuck with candles, this glow tulip chocolate cake marks a special anniversary.	Trempé de glaçage bleu et collé de bougies, ce gâteau au chocolat aux tulipes lumineuses marque un anniversaire spécial.
Items/AnniversaryPartyHatBlue	Text		Blue Party Hat	Chapeau de fête bleu
Items/AnniversaryPartyHatBlueDesc	Text		This blazing blue party hat can be worn to celebrate a special anniversary. 	Ce chapeau de fête bleu flamboyant peut être porté pour célébrer un anniversaire spécial.
Items/AnniversaryPartyHatGreen	Text		Green Party Hat	Chapeau de fête vert
Items/AnniversaryPartyHatGreenDesc	Text		This groovy green party hat can be worn to celebrate a special anniversary. 	Ce chapeau de fête vert sensationnel peut être porté pour célébrer un anniversaire spécial.
Items/AnniversaryPartyHatPurple	Text		Purple Party Hat	Chapeau de fête violet
Items/AnniversaryPartyHatPurpleDesc	Text		This perky purple party hat can be worn to celebrate a special anniversary. 	Ce chapeau de fête violet guilleret peut être porté pour célébrer un anniversaire spécial.
Items/AnniversaryPartyHatRed	Text		Red Party Hat	Chapeau de fête rouge
Items/AnniversaryPartyHatRedDesc	Text		This radical red party hat can be worn to celebrate a special anniversary. 	Ce chapeau de fête rouge radical peut être porté pour célébrer un anniversaire spécial.
Items/AntiqueBoardGame	Text		Antique Board Game	Jeu de société antique
Items/AntiqueBoardGameDesc	Text		An ancient game for two players, there is no rulebook but apparently it was about shifting blocks around.	Un ancien jeu pour deux joueurs, il n'y a pas de livre de règles mais apparemment il s'agissait de déplacer des blocs.
Items/ArcheologyHelm	Text		Explorer's Hat	Chapeau d'explorateur
Items/ArcheologyHelmDesc	Text		A hat that's made to go adventuring. Never falls off, even when a giant boulder is chasing behind.	Un chapeau fait pour partir à l'aventure. Ne tombe jamais, même lorsqu'un rocher géant poursuit derrière.
Items/ArcheologyPants	Text		Explorer's Pants	Jambières d'explorateur
Items/ArcheologyPantsDesc	Text		A good pair of pants that is made for traveling long distances and sneaking past ancient traps.	Une bonne paire de jambières conçue pour parcourir de longues distances et se faufiler au devant d'anciens pièges.
Items/ArcheologyShirt	Text		Explorer's Jacket	Veste d'explorateur
Items/ArcheologyShirtDesc	Text		A leather jacket that's almost too warm to wear on adventures, but it looks cool!	Une veste en cuir presque trop chaude pour être portée à l'aventure, mais elle a l'air cool!
Items/AssassinBreastArmor	Text		Assassin Cloak	Cape d'assassin
Items/AssassinBreastArmorDesc	Text		This multi-layered piece of fabric is tightly woven to keep the body cool and protect from coarse, grainy sand.	Ce morceau de tissu multicouche est étroitement tissé pour garder le corps au frais et le protéger du sable grossier et granuleux.
Items/AssassinHelm	Text		Assassin Hood	Capuche d'assassin
Items/AssassinHelmDesc	Text		A mysterious hood for true desert dwellers that keeps the face in shade.	Une capuche mystérieuse pour les vrais habitants du désert qui garde le visage à l'ombre.
Items/AstralJelly	Text		Astral Jelly	Gelée astrale
Items/AstralJellyDesc	Text		Extremely rare type of jellyfish. It almost feels like out of this world.	Type de méduse extrêmement rare. On a l'impression d'être hors du monde.
Items/AtlantianWormChest	Text		Atlantean Worm Chest	Coffre de Ver Atlantéen
Items/AtlantianWormChestDesc	Text		A large chest resembling the slithering giant in the Sunken Sea. Once having been part of this monstrosity allows it to float on the surface of water.	Un grand coffre ressemblant au géant rampant de la Mer engloutie. Le fait d'avoir fait partie de cette monstruosité lui permet de flotter à la surface de l'eau.
Items/AtlantianWormHeart	Text		Atlantean Worm Heart	Cœur de Ver Atlantéen 
Items/AtlantianWormHeartDesc	Text		This is but one of the many hundred hearts of the Atlantean Worm that give it the strength to hurl its gigantic body through the water. Therefore it brims with vitality that you can now call your own.	Ce n'est qu'un des centaines de cœurs du Ver Atlantéen qui lui donnent la force de projeter son corps gigantesque dans l'eau. Il déborde donc d'une vitalité que vous pouvez désormais vous approprier.
Items/AtlantianWormHelm	Text		Atlantean Worm Helmet	Casque du Ver Atlantéen 
Items/AtlantianWormHelmDesc	Text		A fierce looking helm that resembles the head of the Atlantean Worm. How it came to be is a mystery.	Un casque d'apparence féroce qui ressemble à la tête du Ver Atlantéen. L'origine de ce casque est un mystère.
Items/AtlantianWormNecklace	Text		Atlantean Worm Necklace	Collier du Ver Atlantéen 
Items/AtlantianWormNecklaceDesc	Text		This organic necklace looks like a miniature version of the Atlantean Worm. Maybe it is a juvenile that would grow to become as large as its origin.	Ce collier organique ressemble à une version miniature du Ver Atlantéen. Il s'agit peut-être d'un juvénile qui grandirait pour devenir aussi grand que son origine.
Items/AtlantianWormRing	Text		Atlantean Worm Ring	Anneau du Ver Atlantéen 
Items/AtlantianWormRingDesc	Text		An organic ring that looks like one of the segments of the Atlantean Worm. It must have grown inside its body as an anomaly.	Un anneau organique qui ressemble à l'un des segments du Ver Atlantéen. Il a dû se développer à l'intérieur de son corps comme une anomalie.
Items/AtlantianWormSword	Text		Atlantean Worm Sword	Épée du Ver Atlantéen
Items/AtlantianWormSwordDesc	Text		A dislodged, razorsharp mandible of the Atlantean Worm. The maker of the deep sea.	Une mandibule délogée et tranchante du Ver Atlantéen. Le créateur des profondeurs marines.
Items/AtlantianWormTrophy	Text		Atlantean Worm Figurine	Figurine du Ver Atlantéen 
Items/AtlantianWormTrophyDesc	Text		A lifelike representation of the Atlantean Worm.	Une représentation réaliste du Ver Atlantéen.
Items/AutomationTable	Text		Automation Table	Table d'automatisation
Items/AutomationTableDesc	Text		Workbench for creating complex machines.	Etabli pour créer des machines complexes.
Items/AzeosBeakNecklace	Text		Azeos Beak Necklace	Collier de becs d'Azeos
Items/AzeosBeakNecklaceDesc	Text		Forged from a piece of the sky titan's beak.	Forgé à partir d'un morceau du bec du titan du ciel.
Items/AzeosFeatherFan	Text		Azeos Feather Fan	Eventail à plumes d'Azeos
Items/AzeosFeatherFanDesc	Text		A beautiful fan created in honor of Azeos that appears to create wind without swinging it. A gift worthy of a queen.	Un magnifique éventail créé en l'honneur d'Azeos qui semble créer du vent sans le balancer. Un cadeau digne d'une reine.
Items/AzeosSwiftFeather	Text		Azeos' Dash Feather	Plume d'esquive d'Azeos
Items/AzeosSwiftFeatherDesc	Text		A colorful talon feather from Azeos, the Sky Titan. By holding it you can dash at a high speed.	Une plume à talon colorée d'Azeos, le Titan du ciel. En la tenant, vous pouvez vous élancer à grande vitesse.
Items/AzeosTrophy	Text		Azeos Figurine	Figurine d'Azéos
Items/AzeosTrophyDesc	Text		A lifelike representation of Azeos the Sky Titan.	Une représentation réaliste d'Azeos le Titan du ciel.
Items/AzureFeatherFish	Text		Azure Feather Fish	Poisson à plumes d'azur
Items/AzureFeatherFishDesc	Text		A beautiful blue fish with scales that look like feathers.	Un beau poisson bleu avec des écailles qui ressemblent à des plumes.
Items/BagOfMarbles	Text		Bag of Marbles	Sac de billes
Items/BagOfMarblesDesc	Text		A small bag holding multiple colored marbles made from glass and cheap gemstones. They have probably been used for child's games.	Un petit sac contenant plusieurs billes colorées faites de verre et de pierres précieuses bon marché. Ils ont probablement été utilisés pour des jeux d'enfants.
Items/BaitFishBitesFaster	Text		Spicy Bait	Appât épicé
Items/BaitFishBitesFasterAndIncreasedChanceToGetFish	Text		Green Bait	Appât vert
Items/BaitFishBitesFasterAndIncreasedChanceToGetFishDesc	Text		A pointy bait that can stick to fish from the outside to catch more and catch them faster.	Un appât pointu qui peut coller à pêcher de l’extérieur pour attraper plus et les attraper plus rapidement.
Items/BaitFishBitesFasterAndStartsCloserToBeReeledIn	Text		Red Bait	Appât rouge
Items/BaitFishBitesFasterAndStartsCloserToBeReeledInDesc	Text		A wiggly bait that looks like a red worm, quickly drawing fish closer to you before they bite.	Un appât ondulant qui ressemble à un ver rouge, attirant rapidement les poissons plus près de vous avant qu'ils ne vous mordent.
Items/BaitFishBitesFasterDesc	Text		A well-seasoned type of bait that attracts fish more quickly.	Un type d'appât bien assaisonné qui attire les poissons plus rapidement.
Items/BaitFishStartsCloserToBeReeledIn	Text		Sticky Bait	Appât collant
Items/BaitFishStartsCloserToBeReeledInDesc	Text		An icky type of bait that pulls fish closer before they even bite.	Un type d’appât collant qui tire les poissons plus près avant même qu’ils mordent.
Items/BaitIncreaseChanceOfHigherRarityFish	Text		Purple Bait	Appât violet
Items/BaitIncreaseChanceOfHigherRarityFishDesc	Text		A shimmering bait that catches the eye of more rare fish.	Un appât scintillant qui attire l'attention des poissons plus rares.
Items/BaitIncreasedChanceToGetFish	Text		Sweet Bait	Appât sucré
Items/BaitIncreasedChanceToGetFishDesc	Text		A sugary type of bait that increases the chance of catching fish instead of loot.	Un type d'appât sucré qui augmente les chances d'attraper du poisson au lieu de butin.
Items/BaitIncreasedChanceToGetFishLoot	Text		Glowing Bait	Appât lumineux
Items/BaitIncreasedChanceToGetFishLootDesc	Text		A luminous type of bait that increases the chance of pulling up loot.	Un type d'appât lumineux qui augmente les chances de récupérer de butin.
Items/BaitOctopusBoss	Text		Expert Lure	Appât d'expert
Items/BaitOctopusBossDesc	Text		This lure consists of multiple edible and magical components, attracting the one big catch that lingers in deep waters. Is consumed on successful use.	Ce leurre se compose de plusieurs composants comestibles et magiques, attirant la seule grosse prise qui s'attarde dans les eaux profondes. Est consommé en cas d'utilisation réussie.
Items/BaitOnAPole	Text		Bait Pillar	Pilier d'appât
Items/BaitOnAPoleDesc	Text		Quite literally a crystal pillar with bait fixed to its top. Placing it in the waters of the Sunken Sea will make the true terror of the deep aware of your presence if close enough.	Il s'agit littéralement d'un pilier de cristal sur lequel est fixé un appât. En le plaçant dans les eaux de la mer engloutie, la véritable terreur des profondeurs s'apercevra de votre présence si vous vous en approchez suffisamment.
Items/BalloonSpore	Text		Balloon Spore	Spore de ballon
Items/BalloonSporeDesc	Text		A fluffy giant spore. It's non-toxic but also not very useful.	Une spore géante duveteuse. Non toxique mais pas très utile.
Items/BattleAxe	Text		Battle Axe	Hache de guerre
Items/BattleAxeDesc	Text		A menacing weapon that swings wide and hits hard.	Une arme menaçante qui frappe fort et large.
Items/Bed	Text		Bed	Lit
Items/BedDesc	Text		A place to sleep. Also allows friendly inhabitants to move in if placed in a room to their liking.	Un endroit pour dormir. Permet également aux habitants amis d'emménager s'ils sont placés dans une pièce à leur goût.
Items/BentFork	Text		Bent Fork	Fourche tordue
Items/BentForkDesc	Text		A simple fork that has seen too much use.	Une fourchette simple qui a trop servi.
Items/BigFloorTileCaveling	Text		"Stone tile ""Cavelings"""	"Carrelage en pierre ""Cavelin"""
Items/BigFloorTileCavelingDesc	Text		A giant stone tile decorated with a deep blue glass. It depicts a gathering of cavelings.	Un carreau de pierre géant orné d'un verre bleu profond. Il représente un rassemblement de cavelin.
Items/BigFloorTileGemstone	Text		"Stone tile ""Gemstone"""	"Carrelage en pierre ""Pierre précieuse"""
Items/BigFloorTileGemstoneDesc	Text		A giant stone tile decorated with a deep blue glass. It depicts a glowing gemstone.	Un carreau de pierre géant orné d'un verre bleu profond. Il représente une pierre précieuse incandescente.
Items/BigFloorTileScholar	Text		"Stone tile ""Scholar"""	"Carrelage en pierre ""Érudit"""
Items/BigFloorTileScholarDesc	Text		A giant stone tile decorated with a deep blue glass. It depicts a robed caveling.	Un carreau de pierre géant orné d'un verre bleu profond. Il représente un cavelin en robe.
Items/BigLarva	Text		Big Larva	Grande Larve
Items/BigLarvaTrophy	Text		Big Larva Figurine	Figurine de Grande Larve
Items/BigLarvaTrophyDesc	Text		A lifelike representation of a Big Larva.	Une représentation réaliste d'une grande larve.
Items/BigLarvaVampireTrophy	Text		Big Dracularva Figurine	Figurine de Grande Dracularva
Items/BigLarvaVampireTrophyDesc	Text		A lifelike representation of a Big Dracularva.	Une représentation réaliste d'une grande Dracularva.
Items/BikiniBreastArmorBlue	Text		Blue Bikini Top	Haut de bikini bleu
Items/BikiniBreastArmorBlueDesc	Text		A blue swim suit piece that keeps everything in its place. Everyone knows the most revealing armor is the most protective.	Une pièce de maillot de bain bleu qui garde tout à sa place. Tout le monde sait que l'armure la plus révélatrice est la plus protectrice.
Items/BikiniBreastArmorGreen	Text		Green Bikini Top	Haut de bikini vert
Items/BikiniBreastArmorGreenDesc	Text		A green swim suit piece that keeps everything in its place. Everyone knows the most revealing armor is the most protective.	Une pièce de maillot de bain vert qui garde tout à sa place. Tout le monde sait que l'armure la plus révélatrice est la plus protectrice.
Items/BikiniBreastArmorRed	Text		Red Bikini Top	Haut de bikini rouge
Items/BikiniBreastArmorRedDesc	Text		A red swim suit piece that keeps everything in its place. Everyone knows the most revealing armor is the most protective.	Une pièce de maillot de bain rouge qui garde tout à sa place. Tout le monde sait que l'armure la plus révélatrice est la plus protectrice.
Items/BikiniPantsArmorBlue	Text		Blue Bikini Bottom	Bas de bikini bleu
Items/BikiniPantsArmorBlueDesc	Text		A blue underwear piece that goes well with its top part. Get rid of unnecessary clothing and run free in the sun!	Un sous-vêtement bleu qui se marie bien avec sa partie haute. Débarrassez-vous des vêtements inutiles et courez librement au soleil!
Items/BikiniPantsArmorGreen	Text		Green Bikini Bottom	Bas de bikini vert
Items/BikiniPantsArmorGreenDesc	Text		A green underwear piece that goes well with its top part. Get rid of unnecessary clothing and run free in the sun!	Un sous-vêtement vert qui se marie bien avec sa partie haute. Débarrassez-vous des vêtements inutiles et courez librement au soleil!
Items/BikiniPantsArmorRed	Text		Red Bikini Bottom	Bas de bikini rouge
Items/BikiniPantsArmorRedDesc	Text		A red underwear piece that goes well with its top part. Get rid of unnecessary clothing and run free in the sun!	Un sous-vêtement rouge qui se marie bien avec sa partie haute. Débarrassez-vous des vêtements inutiles et courez librement au soleil!
Items/BindingString	Text		Thread of Fate	Fil du destin
Items/BindingStringDesc	Text		A mysterious string woven from fine filaments. It can be used to bind a set of cards together.	Une ficelle mystérieuse tissée de fins filaments. Il peut être utilisé pour lier un ensemble de cartes ensemble.
Items/BirdBossScanner	Text		Azeos the Sky Titan Scanner	Scanneur d'Azeos le titans du ciel
Items/BirdBossScannerDesc	Text		Scans the world for Azeos the Sky Titan. Consumed on successful scan.	Scanne le monde pour trouver Azeos le titans du ciel. Consommé en cas d'analyse réussie.
Items/BlackBubblePearl	Text		Black Bubble Pearl	Perle à bulles noire
Items/BlackBubblePearlDesc	Text		A black variant of the bubble pearl, from certain angles it appears golden.	Une variante noire de la perle à bulles, sous certains angles, elle apparaît dorée.
Items/BlackDesertDiamond	Text		Black Desert Diamond	Diamant noir du désert
Items/BlackDesertDiamondDesc	Text		The black variant of a desert diamond that is highly sought after by miners. It seems to invert reflected light and cast it back as shadows.	La variante noire d'un diamant du désert très recherchée par les mineurs. Il semble inverser la lumière réfléchie et la renvoyer sous forme d'ombres.
Items/BlackNecklace	Text		Black Necklace	Collier noir
Items/BlackNecklaceDesc	Text		A necklace made from pitch-black metal that leaves dark smudges on your neck.	Un collier en métal noir qui laisse des traces sombres sur votre cou.
Items/BlackRing	Text		Black Ring	Anneau noir
Items/BlackRingDesc	Text		A ring made from pitch-black metal, darkened by the constant presence of immense heat.	Une bague en métal d'un noir absolu, assombri par la présence constante d'une immense chaleur.
Items/BlackSteelUrchin	Text		Black Steel Urchin	Oursin en acier noir
Items/BlackSteelUrchinDesc	Text		A rare sea critter with spikes as hard as steel.	Une créature marine rare avec des pointes aussi dures que l'acier.
Items/BloatOat	Text		Bloat Oat	Flocons d’avoine
Items/BloatOatDesc	Text		A handful of healthy cereal that fills you up and gives you energy.	Une poignée de céréales saines qui vous rassasient et vous donnent de l'énergie.
Items/BloatOatRare	Text		Golden Bloat Oat	Flocons avoine dorée
Items/BloatOatRareDesc	Text		A very rare variant of the common bloat oat.	Une variante très rare du flocons d’avoine commune.
Items/BloatOatSeed	Text		Bloat Oat Seed	Graine d'avoine
Items/BloatOatSeedDesc	Text		Grows into a filling crop when planted.	Pousse dans une culture de remplissage lorsqu’il est planté.
Items/BlobRosaryNecklace	Text		Blob Rosary Necklace	Collier Rosaire Blob
Items/BlobRosaryNecklaceDesc	Text		Sticky necklace infused with energy made for an unknown purpose.	Collier collant infusé d'énergie fabriqué dans un but inconnu.
Items/BloodSkull	Text		Blood Skull	Crâne de sang
Items/BloodSkullDesc	Text		The crimson remains of someone meeting a terrible fate.	Les restes cramoisis de quelqu'un rencontrant a un destin terrible.
Items/Blowpipe	Text		Blowpipe	Sarbacane
Items/BlowpipeDesc	Text		A simple weapon loaded with poisonous darts.	Une arme simple chargée de fléchettes empoisonnées.
Items/BlueCaveGuppy	Text		Blue Cave Guppy	Guppy des cavernes bleues
Items/BlueCaveGuppyDesc	Text		Small, blue fish home to the dirt cave lakes.	Petit poisson bleu abritant les lacs des grottes de terre.
Items/BlueFireFly	Text		Blue Glowbug	Luciole bleue
Items/BlueFireFlyDesc	Text		This flying bug always appears in swarms which appear as dancing lights. Its blue glow is biome-specific.	Cet insecte volant apparaît toujours en essaims qui apparaissent comme des lumières dansantes. Sa lueur bleue est spécifique au biome.
Items/BlueGlassKalimba	Text		Blue Glass Kalimba	Kalimba en verre bleu
Items/BlueGlassKalimbaDesc	Text		"A delicate instrument that has multiple fractures across its surface, rendering it unusable. There is a signature reading ""Woopsiee"", that has been carved into the glass."	"Un instrument délicat qui présente de multiples fractures sur sa surface, le rendant inutilisable. Il y a une signature indiquant ""Woopsiee"", qui a été gravée dans le verre."
Items/BlueGlassShard	Text		Blue Glass Shard	Éclat de verre bleu
Items/BlueGlassShardDesc	Text		A piece of deep blue glass, it appears to be a fusion of molten sand and ancient gemstones. 	Un morceau de verre bleu profond, il semble être une fusion de sable en fusion et de pierres précieuses anciennes.
Items/BlueKelp	Text		Blue Kelp	Algue bleu
Items/BlueKelpDesc	Text		A blue lump of marine plants, not that useful.	Un morceau bleu de plantes marines, pas si utile.
Items/BlueSlimeTrophy	Text		Blue Slime Figurine	Figurine de Slime Bleu
Items/BlueSlimeTrophyDesc	Text		A lifelike representation of a slippery Blue Slime.	Une représentation réaliste d'un Blue Slime glissant.
Items/Boat	Text		Boat	Bateau
Items/BoatDesc	Text		Allows travelling over water.	Permet de voyager sur l'eau.
Items/BoatWorkbench	Text		Boat Workbench	Établi de bateau
Items/BoatWorkbenchDesc	Text		This wide workstation allows the construction of different boats. Ahoy!	Ce large poste de travail permet la construction de différents bateaux. Ohé!
Items/Bomb	Text		Bomb	Bombe
Items/BombDesc	Text		A stronger explosive for crowd control and facing giant enemies.	Un explosif plus puissant pour contrôler les foules et affronter des ennemis géants.
Items/BombPepper	Text		Bomb Pepper	Piment bombe
Items/BombPepperDesc	Text		A fierce vegetable for spicing up foods.	Un légume féroce pour relever les plats.
Items/BombPepperRare	Text		Golden Bomb Pepper	Piment Bombe Dorée
Items/BombPepperRareDesc	Text		A very rare variant of the common bomb pepper.	Une variante très rare du piment bombe commun.
Items/BombPepperSeed	Text		Bomb Pepper Seed	Graine de piment bombe
Items/BombPepperSeedDesc	Text		Grows into a spicy vegetable when planted.	Devient un légume épicé lorsqu'il est planté.
Items/BombRing	Text		Bomb Ring	Anneau de bombardement
Items/BombRingDesc	Text		A ring crowned with a little bomb idol. Handling explosives while wearing it results in an even stronger blast.	Une bague couronnée d'une petite idole en forme de bombe. Si vous manipulez des explosifs en la portant, l'explosion est encore plus forte.
Items/BombScarab	Text		Bomb Scarab	Scarabée Bombe
Items/BombScarabTrophy	Text		Bomb Scarab Figurine	Figurine Scarabée Bombe
Items/BombScarabTrophyDesc	Text		A lifelike representation of a Bomb Scarab.	Une représentation réaliste d'un scarabée bombe.
Items/BoneCreole	Text		Bone Creole	Créole d'os
Items/BoneCreoleDesc	Text		A crude piece of jewelry carved from bone.	Un bijou grossier taillé dans l'os.
Items/BoneNecklace	Text		Bone Necklace	Collier en os
Items/BoneNecklaceDesc	Text		A primitive piece of jewelry made from small bones. Early humans have also made these for many different reasons.	Un bijou primitif fait de petits os. Les premiers humains les ont également fabriqués pour de nombreuses raisons différentes.
Items/BoneRing	Text		Bone Ring	Anneau d'os
Items/BoneRingDesc	Text		A prehistoric, crude ring made from bone. Rings like these have been discovered in early human graves.	Un anneau préhistorique et brut fait d'os. Des anneaux comme ceux-ci ont été découverts dans les premières tombes humaines.
Items/BossChest	Text		Titan's Chest	Coffre de Titan
Items/BossChestDesc	Text		A large, ancient chest crested with gemstones.	Un grand coffre ancien orné de pierres précieuses.
Items/BottomTracer	Text		Bottom Tracer	Traceur des fonds
Items/BottomTracerDesc	Text		A bright yellow fish with long barbels that it drags along the sea floor in search for food. 	Un poisson jaune vif avec de longs barbillons qu'il traîne sur le fond marin à la recherche de nourriture.
Items/BoxOfChocolates	Text		Box of Chocolates	Boîte de chocolats
Items/BoxOfChocolatesDesc	Text		These chocolates come in a nice gift box and are mouth and heart melting.	Ces chocolats sont présentés dans une jolie boîte cadeau et font fondre la bouche et le cœur.
Items/BrightLavaEater	Text		Bright Lava Eater	Mangeur de lave brillant
Items/BrightLavaEaterDesc	Text		A bright fish with fiery belly that seems to purely feed from liquid stone and the gemstones caught within.	Un poisson brillant au ventre ardent qui semble se nourrir uniquement de pierre liquide et de pierres précieuses capturées à l'intérieur.
Items/BrokenCoreIdol	Text		Broken Core Idol	Idole du noyau brisé
Items/BrokenCoreIdolDesc	Text		A familiar-looking object.	Un objet d'apparence familière.
Items/BrokenCoreSentry1	Text		Broken Core Sentry	Sentinelle à noyau brisé
Items/BrokenCoreSentry2	Text		Damaged Core Sentry	Sentinelle à noyau endommagé
Items/BrokenGourd	Text		Broken Gourd	Gourde cassée
Items/BrokenGourdDesc	Text		A broken container made from clay. It was used to carry rations of water across the desert.	Un récipient cassé en argile. Il servait à transporter des rations d'eau à travers le désert.
Items/BrokenGrave	Text		Damaged Grave	Tombe endommagée
Items/BrokenGraveDesc	Text		A partially broken grave that either survived the currents of time or a quick attempt to gain treasure.	Une tombe partiellement brisée qui a survécu aux courants du temps ou à une tentative rapide de gagner un trésor.
Items/BrokenLegendarySword	Text		Broken Handle	Poignée cassée
Items/BrokenLegendarySwordDesc	Text		A piece of an ancient weapon. Even though it's only the handle it already feels mysteriously balanced in your hand.	Un morceau d'une arme ancienne. Même si ce n'est que le manche, il se sent déjà mystérieusement équilibré dans votre main.
Items/BrokenStonePillar	Text		Broken Stone Pillar	Pilier de pierre brisé
Items/BrokenStonePillarDesc	Text		Unstable pillar for decoration, probably thousands of years old.	Pilier instable pour la décoration, probablement millénaire.
Items/BrokenToyShip	Text		Broken Toy Ship	Bateau-jouet cassé
Items/BrokenToyShipDesc	Text		A leaking wooden ship that is missing its sail.	Un bateau en bois qui coule et qui n'a plus de voile.
Items/BronzeBreastArmor	Text		Bronze Breastplate	Cuirasse en bronze
Items/BronzeBreastArmorDesc	Text		A good armor to survive battles more easily.	Une bonne armure pour survivre plus facilement aux batailles.
Items/BronzeHelm	Text		Bronze Helm	Heaume en bronze
Items/BronzeHelmDesc	Text		This helm repels slight blows to the head.	Ce heaume repousse les coups légers à la tête.
Items/BronzePantsArmor	Text		Bronze Pants	Jambières en bronze
Items/BronzePantsArmorDesc	Text		Some bronze for the shin.	Du bronze pour les tibias.
Items/BrownDuneTail	Text		Brown Dune Tail	Queue des dunes brunes
Items/BrownDuneTailDesc	Text		This brown, agile fish is able to move between water holes in the desert to change feeding grounds.	Ce poisson brun et agile est capable de se déplacer entre les points d'eau du désert pour changer de zone d'alimentation.
Items/BubbleGun	Text		Bubble Gun	Pistolet a Bulles
Items/BubbleGunDesc	Text		A strange ranged weapon that shoots out hovering bubbles, adding slippery movement on contact.	Une étrange arme à distance qui projette des bulles flottantes, ajoutant un mouvement glissant au contact.
Items/BubblePearl	Text		Bubble Pearl	Perle à bulles
Items/BubblePearlDesc	Text		A beautiful, iridescent pearl. It seems to be hollow.	Une belle perle irisée. Il semble être creux.
Items/BubblePearlNecklace	Text		Bubble Pearl Necklace	Collier de perles à bulles
Items/BubblePearlNecklaceDesc	Text		Natural grown jewelry made from rare bubble pearls.	Bijoux de culture naturelle fabriqués à partir de perles à bulles rares.
Items/Bucket	Text		Bucket	Seau
Items/BucketDesc	Text		A bucket. The clever solution to transporting water. 	Un seau. La solution astucieuse pour transporter de l'eau.
Items/BugNet	Text		Bug Net	Filet à insectes
Items/BugNetDesc	Text		This handy tool allows you to catch tiny critters instead of accidentally stepping on them.	Cet outil pratique vous permet d'attraper de minuscules créatures au lieu de marcher dessus accidentellement.
Items/Burnzooka	Text		Burnzooka	Burnzooka
Items/BurnzookaDesc	Text		This fiery weapon was modeled after the grubzooka but enhanced with lava rock shielding to contain its power. Can blast away stone walls and anything weaker.	Cette arme enflammée a été modelée sur le grubzooka mais renforcée avec un bouclier de pierre de lave pour contenir sa puissance. Peut faire exploser les murs de pierre et tout ce qui est plus faible.
Items/Bush	Text		Bush	Buisson
Items/BushDesc	Text		A stubby patch of grass to use as a decorative.	Une touffe d'herbe à utiliser comme décoration.
Items/ButterflyBase	Text		Crimson Wing	Aile cramoisie
Items/ButterflyBaseDesc	Text		A small butterfly with deep red wings that seeks the company of other critters.	Un petit papillon aux ailes rouge foncé qui cherche la compagnie d'autres bestioles.
Items/ButterflyCitrus	Text		Citrus Pinion	Pignon d'agrumes
Items/ButterflyCitrusDesc	Text		An erraticly fluttering butterfly that has bright colors irritating to the naked eye.	Un papillon flottant de manière erratique qui a des couleurs vives irritantes à l'œil nu.
Items/ButterflyDreamy	Text		Dream Messenger	Messager de rêve
Items/ButterflyDreamyDesc	Text		Said to be a bringer of good dreams this butterfly is always seen among sleeping creatures.	Dit être un porteur de bons rêves, ce papillon est toujours vu parmi les créatures endormies.
Items/ButterflyIcy	Text		Ice Wind	Vent de glace
Items/ButterflyIcyDesc	Text		This blue butterfly flaps its wings so fast that it creates cold air streams.	Ce papillon bleu bat des ailes si vite qu'il crée des courants d'air froid.
Items/ButterflySunset	Text		Dusk Fairy	Fée du crépuscule
Items/ButterflySunsetDesc	Text		A tiny butterfly with very delicate wings. Catching it without harming them requires a lot of caution.	Un petit papillon aux ailes très délicates. L'attraper sans lui faire de mal demande beaucoup de prudence.
Items/Calendar	Text		Seasonal Calendar	Calendrier saisonnier
Items/CalendarDesc	Text		A useful calendar that will attract a shady merchant when placed in a habitable room. Depending on the season, he will put on different costumes and offer new items.	Un calendrier utile qui attirera un marchand louche lorsqu'il sera placé dans une pièce habitable. Selon la saison, il enfilera différents costumes et proposera de nouveaux objets.
Items/Campfire	Text		Campfire	Feu de camp
Items/CampfireDesc	Text		Great for huddling together, telling stories and burning marshmallows to a crisp.	Idéal pour se blottir, raconter des histoires et brûler des guimauves pour les rendre croustillantes.
Items/Candle	Text		Candle	Bougie
